company_name,slug,rating,profile_url
Torry Harris Integration Solutions,torry-harris-business-solutions,4.1,https://www.ambitionbox.com/reviews/torry-harris-business-solutions-reviews
Future Focus Infotech,future-focus-infotech,3.3,https://www.ambitionbox.com/reviews/future-focus-infotech-reviews
Integra Software Services,integra-software-services,3.8,https://www.ambitionbox.com/reviews/integra-software-services-reviews
enGen Global,engen-global,3.8,https://www.ambitionbox.com/reviews/engen-global-reviews
Precision Infomatic M Pvt Ltd,precision-infomatic-m-pvt-ltd,3.8,https://www.ambitionbox.com/reviews/precision-infomatic-m-pvt-ltd-reviews
KGISL,kgisl,3.0,https://www.ambitionbox.com/reviews/kgisl-reviews
Impact Infotech Pvt. Ltd.,impact-infotech,3.4,https://www.ambitionbox.com/reviews/impact-infotech-reviews
AuthBridge Research Services,authbridge-research-services,3.2,https://www.ambitionbox.com/reviews/authbridge-research-services-reviews
Luxoft,luxoft,3.6,https://www.ambitionbox.com/reviews/luxoft-reviews
Medusind Solutions,medusind-solutions,3.5,https://www.ambitionbox.com/reviews/medusind-solutions-reviews
Ford Business Solutions,ford-india,4.1,https://www.ambitionbox.com/reviews/ford-india-reviews
Ascendion,ascendion,3.2,https://www.ambitionbox.com/reviews/ascendion-reviews
Qualitest,qualitest,3.6,https://www.ambitionbox.com/reviews/qualitest-reviews
Progressive Techserve,progressive-infotech,3.2,https://www.ambitionbox.com/reviews/progressive-infotech-reviews
Zidio Development,zidio-development,4.4,https://www.ambitionbox.com/reviews/zidio-development-reviews
Maveric Systems,maveric-systems,3.3,https://www.ambitionbox.com/reviews/maveric-systems-reviews
Creative Synergies Group,creative-synergies-group,3.9,https://www.ambitionbox.com/reviews/creative-synergies-group-reviews
People Tech Group,people-tech-group,2.3,https://www.ambitionbox.com/reviews/people-tech-group-reviews
NTT,ntt,3.9,https://www.ambitionbox.com/reviews/ntt-reviews
Hitachi Digital Services,hitachi-digital-services,3.5,https://www.ambitionbox.com/reviews/hitachi-digital-services-reviews
Neurealm,neurealm,3.4,https://www.ambitionbox.com/reviews/neurealm-reviews
Allied Digital Services,allied-digital-services,3.2,https://www.ambitionbox.com/reviews/allied-digital-services-reviews
Celebal Technologies,celebal-technologies,3.0,https://www.ambitionbox.com/reviews/celebal-technologies-reviews
BNP Paribas India Solutions,bnp-paribas-india-solutions,3.6,https://www.ambitionbox.com/reviews/bnp-paribas-india-solutions-reviews
TO THE NEW,to-the-new,3.6,https://www.ambitionbox.com/reviews/to-the-new-reviews
CMS Computers Limited (INDIA),cms-computers-limited-india,3.7,https://www.ambitionbox.com/reviews/cms-computers-limited-india-reviews
Mindsprint,mindsprint,3.5,https://www.ambitionbox.com/reviews/mindsprint-reviews
Volkswagen Group Digital Solutions [India],volkswagen-group-digital-solutions-india,3.9,https://www.ambitionbox.com/reviews/volkswagen-group-digital-solutions-india-reviews
Bitwise Solutions,bitwise-solutions,3.6,https://www.ambitionbox.com/reviews/bitwise-solutions-reviews
Primus Global Technologies,primus-global-technologies,3.7,https://www.ambitionbox.com/reviews/primus-global-technologies-reviews
Trianz,trianz,3.7,https://www.ambitionbox.com/reviews/trianz-reviews
LG Soft India,lg-soft-india,2.7,https://www.ambitionbox.com/reviews/lg-soft-india-reviews
Rackspace,rackspace,3.7,https://www.ambitionbox.com/reviews/rackspace-reviews
Evision Technoserve,evision-technoserve,4.8,https://www.ambitionbox.com/reviews/evision-technoserve-reviews
GirnarSoft,girnarsoft,3.6,https://www.ambitionbox.com/reviews/girnarsoft-reviews
Koch Business Solutions,koch-business-solutions,3.1,https://www.ambitionbox.com/reviews/koch-business-solutions-reviews
Expleo Solutions,expleo-solutions,3.5,https://www.ambitionbox.com/reviews/expleo-solutions-reviews
Tavant Technologies,tavant-technologies,3.8,https://www.ambitionbox.com/reviews/tavant-technologies-reviews
Tredence,tredence,3.3,https://www.ambitionbox.com/reviews/tredence-reviews
Bristlecone,bristlecone,3.6,https://www.ambitionbox.com/reviews/bristlecone-reviews
Vertex Customer Solutions,vertex-customer-solutions,3.5,https://www.ambitionbox.com/reviews/vertex-customer-solutions-reviews
Lavender Technology,lavender-technology,4.9,https://www.ambitionbox.com/reviews/lavender-technology-reviews
Bahwan CyberTek,bahwan-cybertek,3.3,https://www.ambitionbox.com/reviews/bahwan-cybertek-reviews
PrimEra Medical Technologies,primera-medical-technologies,3.5,https://www.ambitionbox.com/reviews/primera-medical-technologies-reviews
Ness Digital Engineering,ness-digital-engineering,3.2,https://www.ambitionbox.com/reviews/ness-digital-engineering-reviews
XcelServ Solutions,xcel-serv-solutions,4.4,https://www.ambitionbox.com/reviews/xcel-serv-solutions-reviews
CtrlS,ctrls-datacenters,3.6,https://www.ambitionbox.com/reviews/ctrls-datacenters-reviews
Kaar Tech,kaar-tech,4.3,https://www.ambitionbox.com/reviews/kaar-tech-reviews
Capco Technologies,capco-technologies,3.8,https://www.ambitionbox.com/reviews/capco-technologies-reviews
Orient Technologies,orient-technologies,3.7,https://www.ambitionbox.com/reviews/orient-technologies-reviews
Wissen Infotech,wissen-infotech,3.6,https://www.ambitionbox.com/reviews/wissen-infotech-reviews
Wissen Technology,wissen-technology,3.8,https://www.ambitionbox.com/reviews/wissen-technology-reviews
JoulestoWatts Business Solutions,joulestowatts-business-solutions,3.4,https://www.ambitionbox.com/reviews/joulestowatts-business-solutions-reviews
Ingram Micro,ingram-micro,3.6,https://www.ambitionbox.com/reviews/ingram-micro-reviews
Impetus Technologies,impetus-technologies,3.3,https://www.ambitionbox.com/reviews/impetus-technologies-reviews
Nihilent,nihilent,3.2,https://www.ambitionbox.com/reviews/nihilent-reviews
Optimum Infosystem,optimum-infosystem-pvt-dot-ltd-dot,3.2,https://www.ambitionbox.com/reviews/optimum-infosystem-pvt-dot-ltd-dot-reviews
Corporate Infotech,corporate-infotech-pvt-dot-ltd,3.7,https://www.ambitionbox.com/reviews/corporate-infotech-pvt-dot-ltd-reviews
Inspirisys Solution,inspirisys-solution,3.7,https://www.ambitionbox.com/reviews/inspirisys-solution-reviews
Marlabs,marlabs,3.5,https://www.ambitionbox.com/reviews/marlabs-reviews
MAQ Software,maq-software,3.1,https://www.ambitionbox.com/reviews/maq-software-reviews
Kaizen IT Services,kaizen-it-services,3.8,https://www.ambitionbox.com/reviews/kaizen-it-services-reviews
Kiya.ai,kiya-dot-ai,3.9,https://www.ambitionbox.com/reviews/kiya-dot-ai-reviews
NetConnectGlobal,net-connect,3.1,https://www.ambitionbox.com/reviews/net-connect-reviews
Sasken,sasken,3.6,https://www.ambitionbox.com/reviews/sasken-reviews
Pyramid IT Consulting,pyramid-consulting,3.1,https://www.ambitionbox.com/reviews/pyramid-consulting-reviews
IDBI Intech Limited,idbi-intech,3.2,https://www.ambitionbox.com/reviews/idbi-intech-reviews
Trigent Software,trigent-software,3.3,https://www.ambitionbox.com/reviews/trigent-software-reviews
Suma Soft,suma-soft,3.5,https://www.ambitionbox.com/reviews/suma-soft-reviews
Medcode,medcode,3.8,https://www.ambitionbox.com/reviews/medcode-reviews
CSM Technologies,csm-technologies,3.9,https://www.ambitionbox.com/reviews/csm-technologies-reviews
Renovision Automation Services,renovision-automation-services,3.3,https://www.ambitionbox.com/reviews/renovision-automation-services-reviews
Einfochips,einfochips,3.5,https://www.ambitionbox.com/reviews/einfochips-reviews
HashedIn by Deloitte,hashedin-by-deloitte,3.9,https://www.ambitionbox.com/reviews/hashedin-by-deloitte-reviews
Cyfuture,cyfuture,2.9,https://www.ambitionbox.com/reviews/cyfuture-reviews
ThoughtWorks,thoughtworks,3.9,https://www.ambitionbox.com/reviews/thoughtworks-reviews
Mavenir Systems,mavenir-systems,3.3,https://www.ambitionbox.com/reviews/mavenir-systems-reviews
CSG International,csg-international,3.5,https://www.ambitionbox.com/reviews/csg-international-reviews
Hitachi Systems Micro Clinic,hitachi-systems-micro-clinic,4.0,https://www.ambitionbox.com/reviews/hitachi-systems-micro-clinic-reviews
VDA Infosolutions,vda-infosolutions,3.8,https://www.ambitionbox.com/reviews/vda-infosolutions-reviews
MothersonSumi INfotech & Designs,mothersonsumi-infotech-and-designs,3.4,https://www.ambitionbox.com/reviews/mothersonsumi-infotech-and-designs-reviews
Pinnacle,pinnacle,3.4,https://www.ambitionbox.com/reviews/pinnacle-reviews
Perficient,perficient,3.7,https://www.ambitionbox.com/reviews/perficient-reviews
Accion Labs,accion-labs,3.5,https://www.ambitionbox.com/reviews/accion-labs-reviews
Polaris Consulting,polaris-consulting,4.2,https://www.ambitionbox.com/reviews/polaris-consulting-reviews
Zaalima Development,zaalima-development,4.3,https://www.ambitionbox.com/reviews/zaalima-development-reviews
Expleo Group,expleo-group,3.5,https://www.ambitionbox.com/reviews/expleo-group-reviews
Iron Mountain Inc,iron-mountain-inc,3.7,https://www.ambitionbox.com/reviews/iron-mountain-inc-reviews
Inspira Enterprise India Limited,inspira-enterprise-india-pvt-dot-ltd-dot,3.6,https://www.ambitionbox.com/reviews/inspira-enterprise-india-pvt-dot-ltd-dot-reviews
Ugam Solution,ugam-solution,3.5,https://www.ambitionbox.com/reviews/ugam-solution-reviews
Axiscades,axiscades-engineering-technologies,3.1,https://www.ambitionbox.com/reviews/axiscades-engineering-technologies-reviews
Capital Numbers Infotech,capital-numbers-infotech,4.1,https://www.ambitionbox.com/reviews/capital-numbers-infotech-reviews
Damco Solutions,damco-solutions,3.4,https://www.ambitionbox.com/reviews/damco-solutions-reviews
Genesys International Corporation,genesys-international-corporation,3.2,https://www.ambitionbox.com/reviews/genesys-international-corporation-reviews
Infotact Solutions,infotact-solutions,4.4,https://www.ambitionbox.com/reviews/infotact-solutions-reviews
Unified Mentor,unified-mentor,4.1,https://www.ambitionbox.com/reviews/unified-mentor-reviews
Mahendra NextWealth IT,mahendra-nextwealth,3.3,https://www.ambitionbox.com/reviews/mahendra-nextwealth-reviews
SoftAge Information Technology,softage-information-technology,3.6,https://www.ambitionbox.com/reviews/softage-information-technology-reviews
GSPANN Technologies,gspann-technologies,4.0,https://www.ambitionbox.com/reviews/gspann-technologies-reviews
Innominds Software,innominds-software,3.2,https://www.ambitionbox.com/reviews/innominds-software-reviews
Indecomm Global Services,indecomm-global-services,4.1,https://www.ambitionbox.com/reviews/indecomm-global-services-reviews
Saksoft,saksoft,3.4,https://www.ambitionbox.com/reviews/saksoft-reviews
Hitachi Systems,hitachi-systems,3.9,https://www.ambitionbox.com/reviews/hitachi-systems-reviews
Maxgen Technologies,maxgen-technologies,4.5,https://www.ambitionbox.com/reviews/maxgen-technologies-reviews
smartData Enterprises,smartdata-enterprises,3.6,https://www.ambitionbox.com/reviews/smartdata-enterprises-reviews
Capital Business Systems,capital-business-systems-ltd-dot,3.6,https://www.ambitionbox.com/reviews/capital-business-systems-ltd-dot-reviews
CompuCom,compucom,3.8,https://www.ambitionbox.com/reviews/compucom-reviews
CDK Global,cdk-global,3.8,https://www.ambitionbox.com/reviews/cdk-global-reviews
OutworX,outworx,3.5,https://www.ambitionbox.com/reviews/outworx-reviews
PC Solutions,pc-solutions,4.3,https://www.ambitionbox.com/reviews/pc-solutions-reviews
F1 Info Solutions and Services,f1-info-solutions-services,3.6,https://www.ambitionbox.com/reviews/f1-info-solutions-services-reviews
ThoughtSol Infotech Limited,thoughtsol-infotech,4.6,https://www.ambitionbox.com/reviews/thoughtsol-infotech-reviews
JK Tech,jk-technosoft,3.8,https://www.ambitionbox.com/reviews/jk-technosoft-reviews
Alight Solutions,alight-solutions,3.3,https://www.ambitionbox.com/reviews/alight-solutions-reviews
Foray Software,foray-software,3.5,https://www.ambitionbox.com/reviews/foray-software-reviews
Webskitters,webskitters,3.7,https://www.ambitionbox.com/reviews/webskitters-reviews
Alchemy Techsol India,alchemy-techsol-india,3.5,https://www.ambitionbox.com/reviews/alchemy-techsol-india-reviews
Mobile Programming,mobile-programming,2.9,https://www.ambitionbox.com/reviews/mobile-programming-reviews
TRINAMIX,trinamix,4.4,https://www.ambitionbox.com/reviews/trinamix-reviews
MindGate Solutions,mindgate-solutions,3.1,https://www.ambitionbox.com/reviews/mindgate-solutions-reviews
Deloitte Digital,deloitte-digital,3.8,https://www.ambitionbox.com/reviews/deloitte-digital-reviews
Nelito System,nelito-system,3.2,https://www.ambitionbox.com/reviews/nelito-system-reviews
Communications Test Design,communications-test-design,3.7,https://www.ambitionbox.com/reviews/communications-test-design-reviews
Orcapod Consulting Services,orcapod-consulting-services,3.0,https://www.ambitionbox.com/reviews/orcapod-consulting-services-reviews
Statusneo,statusneo,4.1,https://www.ambitionbox.com/reviews/statusneo-reviews
Hinduja Tech,hinduja-tech,3.1,https://www.ambitionbox.com/reviews/hinduja-tech-reviews
Techwave Consulting,techwave-consulting,3.7,https://www.ambitionbox.com/reviews/techwave-consulting-reviews
IDS Infotech,ids-infotech-limited,3.7,https://www.ambitionbox.com/reviews/ids-infotech-limited-reviews
Value Point Systems,value-point-systems,3.5,https://www.ambitionbox.com/reviews/value-point-systems-reviews
C-Edge Technologies,c-edge-technologies,3.7,https://www.ambitionbox.com/reviews/c-edge-technologies-reviews
Infovision,infovision,3.6,https://www.ambitionbox.com/reviews/infovision-reviews
Kellton,kellton-tech-solutions,2.9,https://www.ambitionbox.com/reviews/kellton-tech-solutions-reviews
Welspun Transformation Services Limited,welspun-global-services,4.1,https://www.ambitionbox.com/reviews/welspun-global-services-reviews
Everforth Quinnox,everforth-quinnox,3.9,https://www.ambitionbox.com/reviews/everforth-quinnox-reviews
Brainvire,brainvire-infotech,2.8,https://www.ambitionbox.com/reviews/brainvire-infotech-reviews
Trimax IT Infrastructure Services,trimax-it-infrastructure-services,3.7,https://www.ambitionbox.com/reviews/trimax-it-infrastructure-services-reviews
Giesecke & Devrient,giesecke-and-devrient,3.4,https://www.ambitionbox.com/reviews/giesecke-and-devrient-reviews
TAO Digital,tao-digital,3.5,https://www.ambitionbox.com/reviews/tao-digital-reviews
ESDS Software Solutions,esds-software-solutions,3.3,https://www.ambitionbox.com/reviews/esds-software-solutions-reviews
Thought Focus,thought-focus,3.3,https://www.ambitionbox.com/reviews/thought-focus-reviews
